,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
4191,4.91,3.0,5.0,Rental,652,West Town,41.88947421948126,-87.64572431380678,Entire home/apt,32,1.52,>$300
4192,4.84,1.0,1.0,Serviced,250,Near North Side,41.89132690429688,-87.6378402709961,Entire home/apt,1,0.04,$100 - $300
4193,4.84,1.0,1.0,Guest,157,Grand Boulevard,41.81924,-87.61042,Entire home/apt,2,0.14,$100 - $300
4194,4.84,1.0,1.0,Rental,216,Near West Side,41.8763,-87.65371999999999,Entire home/apt,0,1.59,$100 - $300
4195,4.9,1.0,1.0,Rental,123,Lincoln Park,41.93159,-87.64594,Entire home/apt,70,3.08,$100 - $300
4196,4.96,3.0,2.0,Rental,259,West Town,41.89953,-87.66588,Entire home/apt,69,3.04,$100 - $300
4197,4.75,3.0,2.0,Home,169,Norwood Park,41.97514,-87.79394,Entire home/apt,52,2.31,$100 - $300
4198,4.81,4.0,2.0,Home,444,Lake View,41.94685,-87.65922,Entire home/apt,21,1.02,>$300
4199,4.8,1.0,1.0,Condo,87,South Shore,41.76766,-87.58433,Entire home/apt,107,4.86,<$100
4200,4.7,2.0,1.0,Guest,129,Avondale,41.93503,-87.70124,Entire home/apt,46,2.0,$100 - $300
4201,4.54,3.0,2.0,Home,167,Washington Heights,41.70765,-87.63778,Entire home/apt,24,2.77,$100 - $300
4202,4.84,1.0,1.0,Serviced,131,Hyde Park,41.80072,-87.58508,Entire home/apt,0,1.59,$100 - $300
4203,4.42,3.0,1.0,Serviced,259,South Chicago,41.73594,-87.5456,Entire home/apt,12,0.54,$100 - $300
4204,4.44,1.0,1.0,Home,103,Grand Boulevard,41.80997,-87.60864,Private room,9,1.04,$100 - $300
4205,5.0,2.0,1.0,Rental,150,West Town,41.89042,-87.67776,Private room,4,0.18,$100 - $300
4206,4.96,1.0,1.0,Rental,75,West Town,41.89103,-87.67815,Private room,23,1.03,<$100
4207,4.85,1.0,1.0,Rental,75,West Town,41.89069,-87.67619,Private room,27,1.24,<$100
4208,4.84,2.0,1.0,Rental,225,Lake View,41.941626,-87.6525329,Entire home/apt,0,1.59,$100 - $300
4209,4.84,1.0,1.0,Rental,110,Logan Square,41.92411,-87.69783,Entire home/apt,0,1.59,$100 - $300
4210,4.93,2.0,5.0,Townhouse,196,Lincoln Park,41.9166,-87.64036,Entire home/apt,85,3.82,$100 - $300
4211,4.83,1.0,1.0,Serviced,82,Lower West Side,41.856918,-87.649628,Private room,93,4.79,<$100
4212,4.8,1.0,1.0,Rental,272,Near North Side,41.89754,-87.63355,Entire home/apt,30,1.41,$100 - $300
4213,4.84,1.0,1.0,Rental,94,Irving Park,41.9529,-87.73709,Entire home/apt,0,1.59,<$100
4214,5.0,1.0,1.0,Condo,121,Uptown,41.96755655319735,-87.65894651428795,Entire home/apt,17,3.95,$100 - $300
4215,4.73,2.0,1.0,Rental,98,Irving Park,41.951302,-87.710083,Entire home/apt,89,3.93,<$100
4216,4.82,1.0,1.0,Serviced,84,Lower West Side,41.85645,-87.65079,Private room,84,4.38,<$100
4217,4.61,3.0,5.0,Rental,150,Washington Park,41.79264,-87.62152,Entire home/apt,31,1.69,$100 - $300
4218,4.82,3.0,1.0,Condo,164,Near West Side,41.87342,-87.68883,Entire home/apt,96,4.31,$100 - $300
4219,4.98,2.0,1.0,Rental,121,Irving Park,41.94682,-87.71253,Entire home/apt,47,2.33,$100 - $300
